timestamp,F3
654083,-7.308325
654087,58.4666
654091,-11.15481
654095,36.92627
654099,36.54163
654103,-5.000433
654107,66.92887
654111,-0.3846487
654115,45.38855
654119,53.85082
654122,-18.07849
654126,45.38855
654130,-0.3846487
654134,36.92627
654138,58.08195
654142,1.538595
654146,72.31395
654150,4.615784
654154,25.38681
654158,47.31179
654162,-14.61665
654166,68.08282
654170,3.846487
654174,7.308325
654178,46.54249
654182,-17.30919
654186,68.46747
654190,11.92411
654194,16.53989
654198,65.77493
654202,-12.30876
654206,77.31439
654210,31.54119
654214,21.15568
654218,69.62141
654222,1.153946
654226,70.77536
654230,26.54076
654234,19.61708
654238,81.16087
654242,-10.77016
654246,55.38941
654249,39.61881
654253,32.31049
654257,96.54682
654261,20.00173
654265,75.39114
654269,42.696
654273,23.84822
654277,83.08412
654281,10.38551
654285,79.23763
654289,63.46703
654293,24.23287
654297,85.39201
654301,3.077189
654305,55.38941
654309,50.38898
654313,10.77016
654317,80.39158
654321,18.84779
654325,66.15957
654329,60.0052
654333,20.38638
654337,98.08542
654341,21.54033
654345,65.39028
654349,68.08282
654353,6.539028
654357,76.54509
654361,8.077622
654365,50.38898
654369,56.92801
654373,-2.307892
654376,86.16131
654380,10.38551
654384,29.2333
654388,48.46573
654392,-10.77016
654396,74.62185
654400,12.69341
654404,36.15698
654408,70.39071
654412,-0.7692974
654416,60.38984
654420,-5.000433
654424,23.07892
654428,51.92757
654432,-19.23243
654436,70.39071
654440,21.92498
654444,25.00216
654448,66.15957
654452,0.7692974
654456,74.62185
654460,27.69471
654464,20.77103
654468,60.0052
654472,-20.77103
654476,37.69557
654480,-9.231568
654484,-5.000433
654488,51.92757
654492,-28.464
654496,46.92714
654500,12.69341
654503,-3.461838
654507,58.4666
654511,-11.92411
654515,57.31265
654519,33.07979
654523,3.077189
654527,64.62098
654531,-2.307892
654535,44.61925
654539,9.231568
654543,-15.7706
654547,60.77449
654551,-16.92454
654555,40.00346
654559,39.23417
654563,-5.385082
654567,61.15914
654571,-20.00173
654575,20.00173
654579,20.00173
654583,-8.077622
654587,59.62055
654591,-25.00216
654595,31.15654
654599,49.61968
654603,-8.077622
654607,61.54379
654611,-6.154379
654615,31.15654
654619,35.00303
654623,-17.69384
654627,56.54336
654630,-14.232
654634,14.232
654638,46.92714
654642,-23.46357
654646,58.08195
654650,8.077622
654654,17.30919
654658,31.15654
654662,-29.61795
654666,38.08022
654670,-16.92454
654674,11.15481
654678,38.84952
654682,-20.00173
654686,69.62141
654690,25.38681
654694,30.77189
654698,60.38984
654702,-26.15611
654706,45.38855
654710,-0.3846487
654714,1.153946
654718,52.31222
654722,-28.84865
654726,43.4653
654730,8.84692
654734,-5.76973
654738,51.15828
654742,-16.92454
654746,50.77363
654750,11.53946
654754,-1.153946
654757,72.6986
654761,4.231136
654765,64.62098
654769,28.84865
654773,4.231136
654777,65.00563
654781,-5.000433
654785,64.23633
654789,38.84952
654793,8.462271
654797,67.31352
654801,-17.30919
654805,36.92627
654809,34.23373
654813,-1.153946
654817,53.85082
654821,-9.616217
654825,51.92757
654829,31.92584
654833,-10.77016
654837,71.9293
654841,-3.846487
654845,35.38768
