timestamp,F3
563918,-20.00173
563922,97.31612
563926,12.30876
563930,34.23373
563934,86.16131
563938,-13.4627
563942,91.93104
563946,15.38595
563950,30.38725
563954,88.85385
563958,-18.46314
563962,93.46963
563966,20.77103
563970,21.15568
563974,94.23893
563978,-22.69427
563982,81.93017
563986,21.15568
563990,6.539028
563994,91.16174
563998,-20.77103
564002,85.39201
564006,35.38768
564010,4.615784
564014,86.16131
564018,-33.84908
564022,68.46747
564026,31.54119
564030,-3.077189
564033,93.08498
564037,-25.00216
564041,66.54422
564045,34.61838
564049,-15.38595
564053,81.54552
564057,-34.23373
564061,53.46617
564065,31.92584
564069,-22.30962
564073,78.46833
564077,-42.696
564081,28.84865
564085,26.54076
564089,-36.92627
564093,74.62185
564096,-36.92627
564100,23.46357
564104,23.84822
564108,-57.31265
564112,59.2359
564116,-43.08065
564120,12.30876
564124,30.0026
564128,-54.62011
564132,63.46703
564136,-45.77319
564140,-5.385082
564144,17.30919
564148,-71.54466
564152,50.00433
564156,-48.08109
564160,-8.84692
564164,23.84822
564168,-75.77579
564172,37.69557
564176,-47.31179
564180,-18.07849
564184,34.23373
564188,-67.69817
564192,44.2346
564196,-34.23373
564200,-13.84735
564204,42.31136
564208,-68.46747
564212,41.54206
564216,-40.00346
564220,-36.92627
564223,33.46444
564227,-86.9306
564231,26.92541
564235,-34.61838
564239,-44.61925
564243,40.00346
564247,-62.31309
564251,36.92627
564255,-16.92454
564259,-36.54163
564263,48.08109
564267,-70.77536
564271,25.00216
564275,-19.61708
564279,-36.15698
564283,56.54336
564287,-55.38941
564291,41.54206
564295,5.76973
564299,-26.54076
564303,76.16044
564307,-44.61925
564311,49.23503
564315,34.23373
564319,-24.61752
564323,76.54509
564327,-38.46487
564331,43.08065
564335,30.77189
564339,-48.08109
564343,64.23633
564347,-40.38811
564350,22.30962
564354,20.38638
564358,-53.46617
564362,56.15871
564366,-56.92801
564370,10.00087
564374,25.77146
564378,-56.92801
564382,64.62098
564386,-45.38855
564390,-10.00087
564394,10.77016
564398,-80.39158
564402,33.46444
564406,-85.00736
564410,-54.62011
564414,-23.84822
564418,-122.3183
564422,-1.153946
564426,-90.77709
564430,-70.77536
564434,-26.92541
564438,-138.0889
564442,-26.92541
564446,-105.0091
564450,-81.54552
564454,-20.38638
564458,-133.4731
564462,-19.23243
564466,-92.70033
564470,-91.54639
564474,-23.84822
564477,-126.5494
564481,-16.15524
564485,-85.39201
564489,-93.85428
564493,-17.30919
564497,-126.9341
564501,-10.77016
564505,-61.54379
564509,-83.46877
564513,-6.923676
564517,-128.088
564521,-42.31136
564525,-99.23936
564529,-118.8564
564533,-17.69384
564537,-141.5507
564541,-47.69644
564545,-78.46833
564549,-108.8556
564553,-15.0013
564557,-117.3178
564561,-10.77016
564565,-27.69471
564569,-75.77579
564573,30.77189
564577,-80.00693
564581,4.231136
564585,-8.077622
564589,-64.23633
564593,50.38898
564597,-63.85168
564601,10.00087
564604,9.231568
564608,-55.77406
564612,59.62055
564616,-46.15784
564620,19.23243
564624,31.15654
564628,-45.38855
564632,68.08282
564636,-40.38811
564640,13.4627
564644,49.23503
564648,-40.00346
564652,83.46877
564656,-17.30919
564660,21.15568
564664,51.15828
564668,-45.0039
564672,68.08282
564676,-21.15568
564680,16.92454
564684,62.31309
564688,-44.2346
564692,66.15957
564696,-11.15481
564700,8.84692
564704,54.23546
564708,-50.38898
564712,66.15957
564716,-7.308325
564720,1.153946
564724,68.08282
564728,-45.77319
564731,75.77579
564735,3.461838
564739,5.385082
564743,90.77709
564747,-22.30962
564751,89.2385
564755,25.00216
564759,1.923243
564763,81.93017
564767,-33.07979
564771,58.4666
564775,6.154379
564779,-20.38638
564783,65.00563
564787,-51.54292
564791,55.00476
564795,21.54033
564799,-10.38551
564803,87.31525
564807,-31.92584
564811,65.00563
564815,34.61838
564819,-19.23243
564823,83.85341
564827,-31.15654
564831,45.0039
564835,31.15654
564839,-18.07849
564843,88.4692
564847,-28.07935
564851,44.2346
564855,33.07979
564858,-24.61752
564862,84.62271
564866,-30.77189
564870,38.08022
564874,45.0039
564878,-32.69514
564882,85.39201
564886,-20.77103
564890,28.84865
564894,44.2346
564898,-43.4653
564902,73.4679
564906,-20.77103
564910,26.54076
564914,54.62011
564918,-40.38811
564922,75.39114
564926,-18.84779
564930,16.53989
564934,60.0052
564938,-37.31092
564942,78.46833
564946,-13.84735
564950,7.308325
564954,46.54249
564958,-45.77319
564962,77.69903
564966,-5.000433
564970,10.38551
564974,68.08282
564978,-52.31222
564982,55.77406
564985,-10.38551
564989,-13.07806
564993,60.0052
564997,-49.23503
565001,53.85082
565005,-10.77016
565009,-23.46357
565013,56.92801
565017,-56.54336
565021,46.15784
565025,0
565029,-27.31006
565033,61.54379
565037,-46.54249
565041,48.46573
565045,6.539028
565049,-29.2333
565053,68.08282
565057,-50.00433
565061,40.00346
565065,16.53989
565069,-29.2333
565073,74.2372
565077,-38.46487
565081,50.77363
565085,34.23373
565089,-17.69384
565093,88.08455
565097,-29.2333
565101,40.77276
565105,34.23373
565109,-25.38681
565112,81.54552
565116,-22.30962
565120,46.92714
565124,53.46617
565128,-22.69427
565132,87.6999
565136,-18.07849
565140,46.15784
565144,58.85125
565148,-25.38681
565152,92.70033
565156,-9.616217
565160,37.31092
565164,68.85211
565168,-16.15524
565172,100.778
565176,6.154379
565180,45.38855
565184,84.62271
565188,-8.462271
565192,114.2407
565196,56.92801
565200,124.2415
565204,207.7103
565208,125.7801
565212,253.8681
565216,170.784
565220,170.3994
565224,221.173
565228,114.6253
565232,235.0203
565236,153.8595
565239,137.7042
565243,185.7853
565247,70.77536
565251,174.2459
565255,93.08498
565259,83.46877
565263,157.706
565267,34.61838
565271,131.5499
565275,68.08282
565279,50.38898
565283,137.7042
565287,14.232
565291,111.9328
565295,69.62141
565299,34.23373
565303,121.549
565307,-0.3846487
565311,87.6999
565315,56.92801
565319,20.77103
565323,123.4722
565327,1.923243
565331,84.62271
565335,60.0052
565339,-1.923243
565343,95.39287
565347,-22.69427
565351,51.54292
565355,48.46573
565359,-10.00087
565363,100.0087
565366,-6.539028
565370,55.77406
565374,56.15871
565378,-16.15524
565382,95.77752
565386,-12.69341
565390,41.92671
565394,51.15828
565398,-33.84908
565402,78.85298
565406,-28.84865
565410,20.77103
565414,50.77363
565418,-32.69514
565422,89.2385
565426,-2.692541
565430,38.84952
565434,65.00563
565438,-26.54076
565442,90.00779
565446,1.923243
565450,27.69471
565454,65.39028
565458,-42.696
565462,75.39114
565466,-11.53946
565470,3.077189
565474,61.92844
565478,-45.77319
565482,60.38984
565486,-19.23243
565490,-13.4627
565493,53.85082
565497,-62.69774
565501,47.31179
565505,-23.07892
565509,-31.15654
565513,45.77319
565517,-67.31352
565521,42.31136
565525,-5.000433
565529,-20.77103
565533,61.92844
565537,-58.4666
565541,44.2346
565545,-5.000433
565549,-38.08022
565553,61.54379
565557,-53.08152
565561,47.31179
565565,6.923676
565569,-32.31049
565573,68.85211
565577,-47.69644
565581,39.23417
565585,25.00216
565589,-25.38681
565593,75.77579
565597,-45.0039
565601,33.46444
565605,25.00216
565609,-33.07979
565613,77.69903
565617,-38.46487
565620,31.15654
565624,25.77146
565628,-53.08152
565632,63.08238
565636,-47.31179
565640,16.15524
565644,34.61838
565648,-45.38855
565652,70.00606
565656,-33.84908
565660,18.84779
565664,41.54206
565668,-46.92714
565672,76.54509
565676,-11.15481
565680,33.46444
565684,63.08238
565688,-33.07979
565692,83.46877
565696,-10.38551
565700,22.30962
565704,64.23633
565708,-39.61881
565712,74.2372
565716,-23.46357
565720,-9.231568
565724,61.54379
565728,-45.0039
565732,71.54466
565736,-3.846487
565740,4.615784
565744,70.77536
565747,-45.38855
565751,66.15957
565755,6.923676
565759,2.307892
565763,70.77536
565767,-44.61925
565771,71.54466
565775,12.69341
565779,-0.7692974
565783,79.23763
565787,-41.54206
565791,58.85125
565795,6.923676
565799,-9.231568
565803,76.92974
565807,-46.54249
565811,55.00476
565815,10.38551
565819,-22.30962
565823,80.39158
565827,-33.07979
565831,66.15957
565835,44.2346
565839,-5.76973
565843,101.9319
565847,-7.308325
565851,71.16001
565855,53.85082
565859,-6.539028
565863,96.54682
565867,-28.84865
565871,45.0039
565874,37.69557
565878,-28.84865
565882,89.62314
565886,-17.69384
565890,41.92671
565894,46.92714
565898,-28.84865
565902,89.2385
565906,-15.7706
565910,41.54206
565914,59.2359
565918,-30.38725
565922,87.6999
565926,-12.30876
565930,31.15654
565934,61.92844
565938,-20.77103
565942,97.31612
565946,4.615784
565950,39.61881
565954,78.46833
565958,-26.15611
565962,82.69947
565966,-5.000433
565970,18.07849
565974,63.46703
565978,-45.0039
565982,66.15957
565986,-13.07806
565990,-0.7692974
565994,66.54422
565998,-35.00303
566001,81.93017
566005,10.00087
566009,8.84692
566013,80.77622
566017,-23.07892
566021,94.23893
566025,31.15654
566029,17.69384
566033,90.77709
566037,-33.07979
566041,66.92887
566045,12.30876
566049,-11.92411
566053,81.16087
566057,-42.31136
566061,59.62055
566065,21.54033
566069,-12.69341
566073,87.31525
566077,-39.61881
566081,52.31222
566085,24.23287
566089,-21.54033
566093,78.85298
566097,-35.00303
566101,56.54336
566105,45.38855
566109,-10.38551
566113,103.4705
566117,-3.077189
566121,66.15957
566125,58.08195
566128,-14.61665
566132,89.62314
566136,-13.84735
566140,59.2359
566144,62.31309
566148,-12.69341
566152,98.08542
566156,-15.0013
566160,37.31092
566164,52.31222
566168,-28.07935
566172,100.0087
566176,-4.615784
566180,46.15784
566184,78.85298
566188,-13.84735
566192,101.9319
566196,1.538595
566200,45.0039
566204,90.00779
566208,-13.07806
566212,109.6249
566216,18.84779
566220,38.46487
566224,80.39158
566228,-13.4627
566232,102.3166
566236,24.23287
566240,42.696
566244,99.62401
566248,-16.15524
566252,96.54682
566255,21.54033
566259,30.77189
566263,96.54682
566267,-6.539028
566271,100.778
566275,30.0026
566279,23.07892
566283,101.9319
566287,-14.61665
566291,96.16217
566295,40.00346
566299,19.61708
566303,102.3166
566307,-21.92498
566311,78.08368
566315,31.54119
566319,6.539028
566323,100.778
566327,-24.61752
566331,75.77579
566335,46.54249
566339,7.308325
566343,100.778
566347,-19.23243
566351,66.15957
566355,41.92671
566359,-5.76973
566363,97.31612
566367,-10.38551
