timestamp,F3
47085,51.92757
47089,-175.3998
47093,153.4748
47097,-126.9341
47101,3.461838
47105,71.16001
47109,-175.7844
47113,152.3209
47117,-116.9332
47121,-16.53989
47125,86.16131
47129,-181.9388
47133,139.6275
47137,-113.0867
47141,-45.77319
47145,77.69903
47149,-214.2493
47153,112.3174
47157,-114.2407
47161,-69.23676
47165,89.62314
47169,-208.4796
47173,106.5477
47177,-101.1626
47181,-88.4692
47184,90.39244
47188,-222.7116
47192,83.85341
47196,-96.93147
47200,-121.1643
47204,81.93017
47208,-234.6357
47212,65.00563
47216,-89.62314
47220,-135.0117
47224,98.08542
47228,-215.0186
47232,66.15957
47236,-61.15914
47240,-141.5507
47244,113.4714
47248,-208.0949
47252,58.4666
47256,-30.77189
47260,-132.7038
47264,139.6275
47268,-186.9393
47272,69.23676
47276,7.308325
47280,-134.2424
47284,148.4744
47288,-173.4766
47292,58.85125
47296,22.69427
47300,-147.7051
47304,158.8599
47308,-154.2441
47311,51.92757
47315,45.77319
47319,-147.3204
47323,158.0906
47327,-158.8599
47331,19.23243
47335,45.38855
47339,-171.1687
47343,146.1665
47347,-148.0897
47351,4.231136
47355,59.2359
47359,-176.9384
47363,156.9367
47367,-123.4722
47371,0.7692974
47375,89.62314
47379,-163.4757
47383,158.0906
47387,-107.317
47391,-9.616217
47395,106.163
47399,-169.2454
47403,148.4744
47407,-94.23893
47411,-28.464
47415,110.7788
47419,-173.0919
47423,149.2437
47427,-75.39114
47431,-35.38768
47435,130.3959
47438,-168.0915
47442,139.2428
47446,-59.62055
47450,-49.61968
47454,141.5507
47458,-174.2459
47462,124.2415
47466,-52.69687
47470,-78.08368
47474,132.3191
47478,-196.5555
47482,91.93104
47486,-66.92887
47490,-130.3959
47494,108.0863
47498,-207.3256
47502,73.08325
47506,-48.85038
47510,-136.9349
47514,141.9354
47518,-177.7077
47522,78.08368
47526,-8.462271
47530,-116.5486
47534,156.9367
47538,-167.7068
47542,74.62185
47546,13.4627
47550,-125.3955
47554,164.245
47558,-145.7819
47562,68.08282
47565,28.84865
47569,-144.2433
47573,158.4753
47577,-148.859
47581,46.54249
47585,43.4653
47589,-147.7051
47593,159.2446
47597,-144.6279
47601,24.61752
47605,52.69687
47609,-161.9371
47613,151.1669
47617,-139.2428
47621,1.923243
47625,60.77449
47628,-175.3998
47632,150.013
47636,-121.1643
47640,-10.00087
47644,75.00649
47648,-182.7081
47652,136.5503
47656,-118.8564
47660,-34.23373
47664,82.69947
47668,-195.0169
47672,130.0113
47676,-106.163
47680,-53.08152
47684,95.00823
47688,-191.555
47692,135.3963
47696,-76.16044
47700,-54.62011
47704,113.4714
47708,-188.4779
47712,123.4722
47716,-64.62098
47720,-73.4679
47724,128.8573
47728,-185.4007
47732,112.7021
47736,-49.61968
47740,-84.23806
47744,136.5503
47748,-187.3239
47752,100.0087
47755,-33.84908
47759,-105.7784
47763,130.7806
47767,-190.4011
47771,77.31439
47775,-32.31049
47779,-133.0884
47783,128.8573
47787,-198.0941
47791,55.77406
47795,-23.84822
47799,-149.2437
47803,127.3187
47807,-194.2476
47811,43.84995
47815,-1.923243
47819,-156.1674
47823,132.3191
47827,-185.4007
47831,23.84822
47835,6.539028
47839,-171.1687
47843,140.0121
47847,-168.8608
47851,20.00173
47855,32.31049
47859,-172.3226
47863,141.1661
47867,-160.3985
47871,10.00087
47875,56.54336
47879,-176.5537
47882,145.7819
47886,-138.0889
47890,-1.923243
47894,78.08368
47898,-165.7836
47902,165.7836
47906,-101.5473
47910,3.461838
47914,101.1626
47918,-164.245
47922,154.2441
47926,-102.3166
47930,-24.61752
47934,106.9323
47938,-180.7849
47942,132.7038
47946,-100.0087
47950,-49.23503
47954,108.8556
47958,-189.6318
47962,127.3187
47966,-80.39158
47970,-58.08195
47974,124.2415
47978,-181.1695
47982,125.7801
47986,-60.38984
47990,-73.85255
47994,135.781
47998,-181.1695
48002,110.7788
48006,-48.85038
48009,-90.77709
48013,141.9354
48017,-174.6305
48021,110.0095
