timestamp,F3
494609,236.9436
494613,201.9406
494617,182.3235
494621,249.637
494625,151.9362
494629,184.6314
494633,149.2437
494637,102.3166
494640,120.0104
494644,58.08195
494648,134.627
494652,116.9332
494656,101.1626
494660,197.3248
494664,101.5473
494668,120.0104
494672,100.3933
494676,14.232
494680,13.84735
494684,-101.1626
494688,-46.15784
494692,-25.77146
494696,-30.77189
494700,118.4718
494704,73.85255
494708,122.7029
494712,113.856
494716,57.31265
494720,166.5529
494724,114.2407
494728,164.245
494732,177.7077
494736,115.7793
494740,206.941
494744,147.3204
494748,189.6318
494752,212.7107
494756,150.013
494760,237.3282
494764,166.1682
494767,198.4787
494771,237.7129
494775,169.2454
494779,248.0984
494783,182.3235
494787,200.0173
494791,238.8668
494795,165.0143
494799,243.098
494803,182.3235
494807,184.6314
494811,221.5576
494815,141.5507
494819,225.7888
494823,180.4002
494827,181.5542
494831,239.6361
494835,164.245
494839,240.0208
494843,189.6318
494847,183.4774
494851,247.3291
494855,167.7068
494859,238.8668
494863,200.402
494867,186.5546
494871,255.0221
494875,180.4002
494879,256.9453
494883,226.9427
494887,194.6322
494891,248.8677
494894,166.1682
494898,238.4822
494902,221.5576
494906,199.248
494910,281.5628
494914,191.1704
494918,246.5598
494922,232.3278
494926,191.9397
494930,259.2532
494934,174.6305
494938,224.2502
494942,208.8642
494946,166.1682
494950,243.8673
494954,150.013
494958,201.1713
494962,206.1717
494966,153.4748
494970,238.4822
494974,162.7064
494978,209.2489
494982,226.9427
494986,167.3222
494990,248.8677
494994,179.6309
494998,216.9419
495002,230.0199
495006,154.6288
495010,242.7133
495014,186.5546
495018,218.0958
495021,244.2519
495025,185.016
495029,272.7159
495033,193.8629
495037,208.0949
495041,243.098
495045,171.5533
495049,261.1765
495053,204.6331
495057,220.019
495061,257.7146
495065,177.7077
495069,259.2532
495073,198.0941
495077,206.1717
495081,256.9453
495085,173.0919
495089,251.1756
495093,202.7099
495097,203.0945
495101,258.4839
495105,166.1682
495109,244.6366
495113,209.2489
495117,203.4792
495121,265.7922
495125,180.7849
495129,251.1756
495133,210.4028
495137,175.3998
495141,240.7901
495145,158.4753
495148,226.5581
495152,209.2489
495156,187.7086
495160,260.4072
495164,176.5537
495168,248.4831
495172,230.0199
495176,189.6318
495180,260.4072
495184,177.7077
495188,236.1743
495192,219.2498
495196,174.2459
495200,256.9453
495204,174.2459
495208,225.7888
495212,223.0962
495216,173.4766
495220,257.33
495224,178.8616
495228,208.4796
495232,203.0945
495236,150.3976
495240,228.866
495244,145.0126
495248,197.3248
495252,223.8655
495256,164.6296
495260,252.7142
495264,179.6309
495268,208.8642
495272,233.8664
495275,160.0139
495279,239.6361
495283,178.0923
495287,198.0941
495291,221.173
495295,150.7823
495299,243.4826
495303,185.4007
495307,201.9406
495311,244.6366
495315,166.1682
495319,244.6366
495323,185.7853
495327,187.7086
495331,230.7892
495335,149.6283
495339,232.7125
495343,176.1691
495347,188.0932
495351,249.637
495355,165.0143
495359,247.3291
495363,207.3256
495367,195.4015
495371,247.3291
495375,166.1682
495379,246.9445
495383,204.6331
495387,177.323
495391,240.0208
495395,158.0906
495399,225.7888
495402,193.0936
495406,171.938
495410,243.4826
495414,154.6288
495418,218.0958
495422,202.7099
495426,163.091
495430,230.0199
495434,153.0902
495438,218.8651
495442,212.3261
495446,179.2463
495450,254.6374
495454,170.3994
495458,221.173
495462,214.634
495466,168.4761
495470,250.4063
495474,168.8608
495478,215.4033
495482,216.5572
495486,160.3985
495490,248.8677
495494,170.784
495498,220.019
495502,230.7892
495506,166.5529
495510,256.5607
495514,185.4007
495518,225.4041
495522,250.0216
495526,186.9393
495529,272.7159
495533,201.5559
495537,226.5581
495541,252.7142
495545,177.323
495549,262.3304
495553,201.5559
495557,221.9423
495561,260.4072
495565,184.6314
495569,263.4844
495573,197.3248
495577,204.6331
495581,255.4067
495585,181.5542
495589,265.4076
495593,208.4796
495597,199.248
495601,231.1739
495605,136.5503
495609,205.787
495613,157.706
495617,148.4744
495621,200.7866
495625,124.2415
495629,206.941
495633,161.1678
495637,142.7047
495641,211.9414
495645,125.3955
495649,197.3248
495653,171.5533
495656,155.3981
495660,227.3274
495664,137.3196
495668,204.2485
495672,178.8616
495676,148.0897
495680,221.173
495684,134.2424
495688,200.7866
495692,187.3239
495696,156.9367
495700,247.7138
495704,166.1682
495708,223.4809
495712,217.7112
495716,170.0147
495719,245.0212
495723,165.7836
495727,217.7112
495731,217.3265
495735,155.7827
495739,231.9432
495743,150.7823
495747,195.7862
495751,209.6335
495755,160.7832
495759,252.7142
495763,178.8616
495767,217.3265
495771,231.1739
495775,157.3213
495779,236.1743
495783,168.0915
495787,196.9401
495791,230.4046
495795,170.0147
495799,253.4835
495803,175.3998
495807,194.6322
495811,223.8655
495815,146.9358
495819,238.4822
495823,180.0156
495827,195.0169
495831,233.4818
495835,147.3204
495839,236.1743
495843,188.0932
495846,188.8625
495850,235.7896
495854,156.1674
495858,238.4822
495862,195.4015
495866,193.8629
495870,249.2523
495874,173.8612
495878,246.5598
495882,195.0169
495886,178.0923
495890,241.5594
495894,158.4753
495898,229.6353
495902,191.555
495906,171.5533
495910,235.7896
495914,150.3976
495918,223.4809
495922,196.1708
495926,164.6296
495930,232.3278
495934,144.6279
495938,211.5568
495942,193.0936
495946,157.706
495950,226.1734
495954,142.7047
495958,202.7099
495962,198.4787
495966,158.0906
495970,238.8668
495973,162.7064
495977,212.3261
495981,206.941
495985,152.7055
495989,234.2511
495993,148.859
495997,191.555
496001,204.2485
496005,157.706
496009,247.3291
496013,171.938
496017,201.5559
496021,210.0182
496025,146.9358
496029,230.7892
496033,163.8603
496037,201.1713
496041,220.7883
496045,146.1665
496049,224.2502
496053,160.3985
496057,190.0165
496061,221.173
496065,147.3204
496069,222.3269
496073,162.3217
496077,178.477
496081,218.0958
496085,151.9362
496089,240.7901
496093,171.5533
496097,176.9384
496100,228.0967
496104,145.3972
496108,232.3278
496112,186.9393
496116,186.9393
496120,231.5585
496124,141.1661
496128,220.7883
496132,170.784
496136,161.5524
496140,230.4046
496144,157.3213
496148,230.7892
496152,191.9397
496156,169.6301
496160,241.1747
496164,155.3981
496168,225.0195
496172,197.7094
496176,171.938
496180,238.4822
496184,154.6288
496188,220.019
496192,197.7094
496196,172.7073
496200,250.4063
496204,155.7827
496208,213.48
496212,203.4792
496216,162.7064
496220,226.9427
496224,154.2441
496227,216.5572
496231,209.2489
496235,155.3981
496239,218.0958
496243,135.781
496247,185.016
496251,194.2476
496255,142.32
496259,226.5581
496263,145.3972
496267,180.0156
496271,188.8625
496275,136.1656
496279,218.8651
496283,143.474
496287,175.0152
496291,183.4774
496295,128.8573
496299,223.8655
496303,153.8595
496307,176.5537
496311,193.0936
496315,121.549
496319,207.7103
496323,141.9354
496327,166.1682
496331,202.3252
496335,126.9341
496339,205.0178
496343,138.4735
496347,152.7055
496351,193.4783
496354,108.0863
496358,183.4774
496362,126.5494
496366,128.4727
496370,175.0152
496374,91.93104
496378,164.245
496382,123.8569
496386,132.7038
496390,181.1695
496394,98.47006
496398,181.5542
496402,141.5507
496406,116.5486
496410,180.4002
496414,104.2398
496418,168.0915
496422,133.8577
496426,113.856
496430,179.2463
